name,value,year,lastValue,rank
Solel,3,322592134,201504,1,592349695,6
Ospecificerad produktion,0,1304264,201504,0,1531816,7
Vattenkraft,6548,343952116,201505,5704,137590784,1
Kärnkraft,3564,9230059,201505,5044,25253,2
Vindkraft,1282,739903896,201505,1417,8974034,3
Övrig värmekraft,467,23094777,201505,597,340142214,4
Gasturbin & dieselkraft,4,204530284,201505,4,841025111,5
Solel,3,592094951,201505,3,322592134,6
Ospecificerad produktion,0,1335633,201505,0,1304264,7
Vattenkraft,6609,84403037,201506,6548,343952116,1
Kärnkraft,3254,67417886,201506,3564,9230059,2
Vindkraft,1091,595976536,201506,1282,739903896,3
Övrig värmekraft,237,907117591,201506,467,23094777,4
Gasturbin & dieselkraft,5,112219006,201506,4,204530284,5
Solel,4,595079627,201506,3,592094951,6
Ospecificerad produktion,0,1247719,201506,0,1335633,7
Vattenkraft,6147,51865241,201507,6609,84403037,1
Kärnkraft,4364,99247684,201507,3254,67417886,2
Vindkraft,935,353187778,201507,1091,595976536,3
Övrig värmekraft,187,480437549,201507,237,907117591,4
Solel,4,618706635,201507,4,595079627,5
Gasturbin & dieselkraft,0,955198303,201507,5,112219006,6
Ospecificerad produktion,0,1548938,201507,0,1247719,7
Vattenkraft,6690,710089254,201508,6147,51865241,1
Kärnkraft,3911,0652665,201508,4364,99247684,2
Vindkraft,912,701316541,201508,935,353187778,3
Övrig värmekraft,170,284807425,201508,187,480437549,4
Solel,5,398757662,201508,4,618706635,5
Gasturbin & dieselkraft,2,314933744,201508,0,955198303,6
Ospecificerad produktion,0,1248691,201508,0,1548938,7
Vattenkraft,5405,878510381,201509,6690,710089254,1
Kärnkraft,4063,72295472,201509,3911,0652665,2
Vindkraft,1168,297767342,201509,912,701316541,3
Övrig värmekraft,231,254591774,201509,170,284807425,4
Gasturbin & dieselkraft,6,497810268,201509,2,314933744,5
Solel,3,119538176,201509,5,398757662,6
Ospecificerad produktion,0,0975003,201509,0,1248691,7
Vattenkraft,6867,858239993,201510,5405,878510381,1
Kärnkraft,5058,866175037,201510,4063,72295472,2
Vindkraft,1268,318700942,201510,1168,297767342,3
Övrig värmekraft,490,542648511,201510,231,254591774,4
Gasturbin & dieselkraft,6,922714797,201510,6,497810268,5
Solel,1,73000581,201510,3,119538176,6
Ospecificerad produktion,0,2872436,201510,0,0975003,7
Vattenkraft,6301,952295348,201511,6867,858239993,1
Kärnkraft,4491,097849526,201511,5058,866175037,2
Vindkraft,1595,114724198,201511,1268,318700942,3
Övrig värmekraft,730,351221356,201511,490,542648511,4
Gasturbin & dieselkraft,5,494151784,201511,6,922714797,5
Solel,0,388886231,201511,1,73000581,6
Ospecificerad produktion,0,2321775,201511,0,2872436,7
Vattenkraft,5767,541066807,201512,6301,952295348,1
Kärnkraft,5087,207185985,201512,4491,097849526,2
Vindkraft,2371,395212763,201512,1595,114724198,3
Övrig värmekraft,860,998509706,201512,730,351221356,4
Gasturbin & dieselkraft,5,965948681,201512,5,494151784,5
Ospecificerad produktion,0,186541,201512,0,2321775,6
Solel,0,180555376,201512,0,388886231,7
Vattenkraft,7292,874761435,201601,5767,541066807,1
Kärnkraft,6048,104670948,201601,5087,207185985,2
Vindkraft,1458,670314269,201601,2371,395212763,3
Övrig värmekraft,1207,087120388,201601,860,998509706,4
Gasturbin & dieselkraft,4,454474125,201601,5,965948681,5
Ospecificerad produktion,0,1903655,201601,0,186541,6
Solel,0,160391499,201601,0,180555376,7
Vattenkraft,6774,483116753,201602,7292,874761435,1
Kärnkraft,5526,865407884,201602,6048,104670948,2
Vindkraft,1436,978526359,201602,1458,670314269,3
Övrig värmekraft,986,014110617,201602,1207,087120388,4
Gasturbin & dieselkraft,4,803206155,201602,4,454474125,5
Solel,1,167927943,201602,0,160391499,6
Ospecificerad produktion,0,2124229,201602,0,1903655,7
Vattenkraft,6450,191870368,201603,6774,483116753,1
Kärnkraft,6032,089579822,201603,5526,865407884,2
Vindkraft,1040,394002689,201603,1436,978526359,3
Övrig värmekraft,848,758735849,201603,986,014110617,4
Solel,2,612480276,201603,1,167927943,5
Gasturbin & dieselkraft,1,039096207,201603,4,803206155,6
Ospecificerad produktion,0,2188536,201603,0,2124229,7
Vattenkraft,5609,175038053,201604,6450,191870368,1
Kärnkraft,5503,24598,201604,6032,089579822,2
Vindkraft,1099,852027516,201604,1040,394002689,3
Övrig värmekraft,578,713859703,201604,848,758735849,4
Solel,4,65273511,201604,2,612480276,5
Gasturbin & dieselkraft,1,195122449,201604,1,039096207,6
Ospecificerad produktion,0,1677752,201604,0,2188536,7
Vattenkraft,5645,099151739,201605,5609,175038053,1
Kärnkraft,4252,914349857,201605,5503,24598,2
Vindkraft,900,046971088,201605,1099,852027516,3
Övrig värmekraft,362,527648786,201605,578,713859703,4
Solel,7,888258441,201605,4,65273511,5
Gasturbin & dieselkraft,1,248797853,201605,1,195122449,6
Ospecificerad produktion,0,1571411,201605,0,1677752,7
Vattenkraft,4707,923153628,201606,5645,099151739,1
Kärnkraft,2872,695889209,201606,4252,914349857,2
Vindkraft,949,957454652,201606,900,046971088,3
Övrig värmekraft,244,632809493,201606,362,527648786,4
Solel,8,43062913,201606,7,888258441,5
Gasturbin & dieselkraft,0,985149846,201606,1,248797853,6
Ospecificerad produktion,0,2109926,201606,0,1571411,7
Kärnkraft,4488,898989944,201607,2872,695889209,1
Vattenkraft,3788,978770234,201607,4707,923153628,2
Vindkraft,850,128180923,201607,949,957454652,3
Övrig värmekraft,202,597844082,201607,244,632809493,4
Solel,9,336511378,201607,8,43062913,5
Gasturbin & dieselkraft,0,775747662,201607,0,985149846,6
Ospecificerad produktion,0,0774899,201607,0,2109926,7
Kärnkraft,4561,742536604,201608,4488,898989944,1
Vattenkraft,3933,829475394,201608,3788,978770234,2
Vindkraft,1207,479555126,201608,850,128180923,3
Övrig värmekraft,185,530383643,201608,202,597844082,4
Solel,7,317247283,201608,9,336511378,5
Gasturbin & dieselkraft,0,836281195,201608,0,775747662,6
Ospecificerad produktion,0,09015478,201608,0,0774899,7
Kärnkraft,4806,702571487,201609,4561,742536604,1
Vattenkraft,4389,887743554,201609,3933,829475394,2
Vindkraft,1029,254258295,201609,1207,479555126,3
Övrig värmekraft,232,15436244,201609,185,530383643,4
Solel,6,079409647,201609,7,317247283,5
Gasturbin & dieselkraft,1,141686868,201609,0,836281195,6
Ospecificerad produktion,0,117421353,201609,0,09015478,7
Kärnkraft,4981,789343867,201610,4806,702571487,1
Vattenkraft,4585,172221855,201610,4389,887743554,2
Vindkraft,1462,089496529,201610,1029,254258295,3
Övrig värmekraft,633,832789507,201610,232,15436244,4
Solel,2,354424063,201610,6,079409647,5
Gasturbin & dieselkraft,1,267810547,201610,1,141686868,6
Ospecificerad produktion,0,100576484,201610,0,117421353,7
Kärnkraft,5333,111142188,201611,4981,789343867,1
Vattenkraft,4508,718941824,201611,4585,172221855,2
Vindkraft,1802,982553254,201611,1462,089496529,3
Övrig värmekraft,1016,610627309,201611,633,832789507,4
Gasturbin & dieselkraft,1,301814187,201611,1,267810547,5
Solel,0,647761438,201611,2,354424063,6
Ospecificerad produktion,0,1864491,201611,0,100576484,7
Kärnkraft,6267,997138502,201612,5333,111142188,1
Vattenkraft,4405,884273871,201612,4508,718941824,2
Vindkraft,2363,276861109,201612,1802,982553254,3
Övrig värmekraft,1099,979242137,201612,1016,610627309,4
Gasturbin & dieselkraft,2,014752062,201612,1,301814187,5
Solel,0,332172733,201612,0,647761438,6
Ospecificerad produktion,0,16300401,201612,0,1864491,7
Kärnkraft,6699,635051073,201701,6267,997138502,1
Vattenkraft,5886,595099359,201701,4405,884273871,2
Vindkraft,1982,801875749,201701,2363,276861109,3
Övrig värmekraft,1095,47430975,201701,1099,979242137,4
Gasturbin & dieselkraft,1,495743534,201701,2,014752062,5
Solel,0,469792452,201701,0,332172733,6
Ospecificerad produktion,0,1717058,201701,0,16300401,7
Kärnkraft,6123,619856153,201702,6699,635051073,1
Vattenkraft,5526,861019567,201702,5886,595099359,2
Vindkraft,1370,286288512,201702,1982,801875749,3
Övrig värmekraft,1031,722179654,201702,1095,47430975,4
Gasturbin & dieselkraft,1,515900399,201702,1,495743534,5
Solel,1,352599875,201702,0,469792452,6
Ospecificerad produktion,0,70890813,201702,0,1717058,7
Kärnkraft,6562,615687723,201703,6123,619856153,1
Vattenkraft,5503,813614804,201703,5526,861019567,2
Vindkraft,1716,596147109,201703,1370,286288512,3
Övrig värmekraft,988,304906573,201703,1031,722179654,4
Solel,4,684140197,201703,1,352599875,5
Gasturbin & dieselkraft,1,181993729,201703,1,515900399,6
Ospecificerad produktion,0,24045223,201703,0,70890813,7
Kärnkraft,6156,442858778,201704,6562,615687723,1
Vattenkraft,4801,893890377,201704,5503,813614804,2
Vindkraft,1453,173406794,201704,1716,596147109,3
Övrig värmekraft,775,229433872,201704,988,304906573,4
Solel,8,50175758,201704,4,684140197,5
Gasturbin & dieselkraft,1,117639488,201704,1,181993729,6
Ospecificerad produktion,0,17100439,201704,0,24045223,7
Kärnkraft,5680,469143385,201705,6156,442858778,1
Vattenkraft,4670,796956795,201705,4801,893890377,2
Vindkraft,1090,140117182,201705,1453,173406794,3
Övrig värmekraft,475,047803998,201705,775,229433872,4
Ospecificerad produktion,21,212161852,201705,0,17100439,5
Solel,13,443430393,201705,8,50175758,6
Gasturbin & dieselkraft,0,201705,1,117639488,7
Kärnkraft,4459,048524076,201706,5680,469143385,1
Vattenkraft,4160,069782472,201706,4670,796956795,2
Vindkraft,1314,862974343,201706,1090,140117182,3
Övrig värmekraft,311,674227145,201706,475,047803998,4
Solel,13,304570428,201706,13,443430393,5
Ospecificerad produktion,6,867632216,201706,21,212161852,6
Gasturbin & dieselkraft,0,201706,0,7
Vattenkraft,5190,198117296,201707,4160,069782472,1
Kärnkraft,4295,18687923,201707,4459,048524076,2
Vindkraft,1022,332753984,201707,1314,862974343,3
Övrig värmekraft,242,890021723,201707,311,674227145,4
Solel,14,618174259,201707,13,304570428,5
Ospecificerad produktion,3,043258905,201707,6,867632216,6
Gasturbin & dieselkraft,0,201707,0,7
Vattenkraft,5422,07330796,201708,5190,198117296,1
Kärnkraft,3651,70385071,201708,4295,18687923,2
Vindkraft,608,962103079,201708,1022,332753984,3
Övrig värmekraft,256,897550535,201708,242,890021723,4
Solel,11,750623426,201708,14,618174259,5
Ospecificerad produktion,6,404319248,201708,3,043258905,6
Gasturbin & dieselkraft,0,201708,0,7
Vattenkraft,5913,79157271,201709,5422,07330796,1
Kärnkraft,3129,86071981,201709,3651,70385071,2
Vindkraft,1011,354610417,201709,608,962103079,3
Övrig värmekraft,341,371634274,201709,256,897550535,4
Ospecificerad produktion,17,331450847,201709,6,404319248,5
Solel,5,892162543,201709,11,750623426,6
Gasturbin & dieselkraft,0,201709,0,7
Vattenkraft,5594,839215501,201710,5913,79157271,1
Kärnkraft,4182,728420374,201710,3129,86071981,2
Vindkraft,1931,2550506,201710,1011,354610417,3
Övrig värmekraft,607,292476828,201710,341,371634274,4
Ospecificerad produktion,24,134010248,201710,17,331450847,5
Solel,3,58000685,201710,5,892162543,6
Gasturbin & dieselkraft,0,201710,0,7
Vattenkraft,6011,673999262,201711,5594,839215501,1
Kärnkraft,5756,1887,201711,4182,728420374,2
Vindkraft,1644,76941799,201711,1931,2550506,3
Övrig värmekraft,816,833162519,201711,607,292476828,4
Ospecificerad produktion,26,125616872,201711,24,134010248,5
Solel,1,260605525,201711,3,58000685,6
Gasturbin & dieselkraft,0,201711,0,7
Kärnkraft,6389,17674694,201712,5756,1887,1
Vattenkraft,6135,325170449,201712,6011,673999262,2
Vindkraft,1837,142805911,201712,1644,76941799,3
Övrig värmekraft,924,437194276,201712,816,833162519,4
Ospecificerad produktion,37,471473616,201712,26,125616872,5
Solel,0,289042892,201712,1,260605525,6
Gasturbin & dieselkraft,0,201712,0,7
Vattenkraft,6874,334874058,201801,6135,325170449,1
Kärnkraft,6215,02226317,201801,6389,17674694,2
Vindkraft,1514,411851153,201801,1837,142805911,3
Övrig värmekraft,1007,560752981,201801,924,437194276,4
Ospecificerad produktion,42,780640133,201801,37,471473616,5
Solel,0,442669785,201801,0,289042892,6
Gasturbin & dieselkraft,0,201801,0,7
Vattenkraft,6759,976424103,201802,6874,334874058,1
Kärnkraft,5792,05929,201802,6215,02226317,2
Vindkraft,1127,580567763,201802,1514,411851153,3
Övrig värmekraft,995,022655887,201802,1007,560752981,4
Ospecificerad produktion,41,723868128,201802,42,780640133,5
Solel,1,310333758,201802,0,442669785,6
Gasturbin & dieselkraft,0,201802,0,7
Vattenkraft,6666,876455154,201803,6759,976424103,1
Kärnkraft,6376,14451,201803,5792,05929,2
Vindkraft,1159,996791268,201803,1127,580567763,3
Övrig värmekraft,978,774534173,201803,995,022655887,4
Ospecificerad produktion,30,218194415,201803,41,723868128,5
Solel,5,826315389,201803,1,310333758,6
Gasturbin & dieselkraft,0,201803,0,7
Kärnkraft,5567,60706473,201804,6376,14451,1
Vattenkraft,4999,86743675,201804,6666,876455154,2
Vindkraft,1288,826459933,201804,1159,996791268,3
Övrig värmekraft,603,490975377,201804,978,774534173,4
Ospecificerad produktion,20,587797672,201804,30,218194415,5
Solel,14,231017506,201804,5,826315389,6
Gasturbin & dieselkraft,0,201804,0,7
Vattenkraft,6138,565987853,201805,4999,86743675,1
Kärnkraft,4850,56075951,201805,5567,60706473,2
Vindkraft,1034,374480155,201805,1288,826459933,3
Övrig värmekraft,338,269290095,201805,603,490975377,4
Solel,26,500962263,201805,14,231017506,5
Ospecificerad produktion,13,399880423,201805,20,587797672,6
Gasturbin & dieselkraft,0,201805,0,7
Kärnkraft,5350,451117,201806,4850,56075951,1
Vattenkraft,3891,529813366,201806,6138,565987853,2
Vindkraft,1352,084831439,201806,1034,374480155,3
Övrig värmekraft,273,443020656,201806,338,269290095,4
Solel,25,991569256,201806,26,500962263,5
Ospecificerad produktion,9,1627411,201806,13,399880423,6
Gasturbin & dieselkraft,0,201806,0,7
Kärnkraft,5411,11252809,201807,5350,451117,1
Vattenkraft,3201,137595329,201807,3891,529813366,2
Vindkraft,652,86396755,201807,1352,084831439,3
Övrig värmekraft,217,517472963,201807,273,443020656,4
Solel,28,905561159,201807,25,991569256,5
Ospecificerad produktion,4,165752864,201807,9,1627411,6
Gasturbin & dieselkraft,0,201807,0,7
Kärnkraft,4625,17413421,201808,5411,11252809,1
Vattenkraft,3645,598025908,201808,3201,137595329,2
Vindkraft,1294,012927944,201808,652,86396755,3
Övrig värmekraft,227,001880825,201808,217,517472963,4
Solel,19,327857206,201808,28,905561159,5
Ospecificerad produktion,3,156281903,201808,4,165752864,6
Gasturbin & dieselkraft,0,201808,0,7
Kärnkraft,4096,39277104,201809,4625,17413421,1
Vattenkraft,3884,546050207,201809,3645,598025908,2
Vindkraft,1950,158634044,201809,1294,012927944,3
Övrig värmekraft,362,115686128,201809,227,001880825,4
Ospecificerad produktion,14,876167279,201809,3,156281903,5
Solel,14,428457718,201809,19,327857206,6
Gasturbin & dieselkraft,0,201809,0,7
Kärnkraft,5875,4489137,201810,4096,39277104,1
Vattenkraft,3984,655663738,201810,3884,546050207,2
Vindkraft,1987,5996641,201810,1950,158634044,3
Övrig värmekraft,602,636924966,201810,362,115686128,4
Ospecificerad produktion,27,93747224,201810,14,876167279,5
Solel,8,40736305,201810,14,428457718,6
Gasturbin & dieselkraft,0,201810,0,7
Kärnkraft,5524,70455,201811,5875,4489137,1
Vattenkraft,5515,260582683,201811,3984,655663738,2
Vindkraft,1661,127628723,201811,1987,5996641,3
Övrig värmekraft,849,451062147,201811,602,636924966,4
Ospecificerad produktion,37,842877399,201811,27,93747224,5
Solel,1,752131781,201811,8,40736305,6
Gasturbin & dieselkraft,0,201811,0,7
Kärnkraft,6238,09472186,201812,5524,70455,1
Vattenkraft,6201,194923234,201812,5515,260582683,2
Vindkraft,1641,666344176,201812,1661,127628723,3
Övrig värmekraft,1197,093286803,201812,849,451062147,4
Ospecificerad produktion,42,443829551,201812,37,842877399,5
Solel,0,462806295,201812,1,752131781,6
Gasturbin & dieselkraft,0,201812,0,7
Vattenkraft,6417,600787443,201901,6201,194923234,1
Kärnkraft,6068,201901,6238,09472186,2
Vindkraft,1840,219778375,201901,1641,666344176,3
Övrig värmekraft,1318,576336757,201901,1197,093286803,4
Ospecificerad produktion,48,304431066,201901,42,443829551,5
Solel,0,952144831,201901,0,462806295,6
Gasturbin & dieselkraft,0,201901,0,7
Kärnkraft,5512,11504,201902,6068,1
Vattenkraft,5492,008361452,201902,6417,600787443,2
Vindkraft,2085,558468362,201902,1840,219778375,3
Övrig värmekraft,1033,447991546,201902,1318,576336757,4
Ospecificerad produktion,38,094348009,201902,48,304431066,5
Solel,5,095340489,201902,0,952144831,6
Gasturbin & dieselkraft,0,201902,0,7
Vattenkraft,5839,38209361,201903,5492,008361452,1
Kärnkraft,5774,63044939,201903,5512,11504,2
Vindkraft,2375,332023857,201903,2085,558468362,3
Övrig värmekraft,1064,725765055,201903,1033,447991546,4
Ospecificerad produktion,36,636878695,201903,38,094348009,5
Solel,25,851562692,201903,5,095340489,6
Gasturbin & dieselkraft,0,201903,0,7
